"Time","argo-rollouts"
2023-04-15 21:00:30,42.2
2023-04-15 21:00:45,42.2
2023-04-15 21:01:00,42.2
2023-04-15 21:01:15,42.2
2023-04-15 21:01:30,41.6
2023-04-15 21:01:45,41.6
2023-04-15 21:02:00,42.6
2023-04-15 21:02:15,42.6
2023-04-15 21:02:30,42.6
2023-04-15 21:02:45,42.6
2023-04-15 21:03:00,42.6
2023-04-15 21:03:15,42.6
2023-04-15 21:03:30,42.2
2023-04-15 21:03:45,42.2
2023-04-15 21:04:00,42.8
2023-04-15 21:04:15,42.8
2023-04-15 21:04:30,39.7
2023-04-15 21:04:45,39.7
2023-04-15 21:05:00,42.5
2023-04-15 21:05:15,42.5
2023-04-15 21:05:30,42.6

