"Time","argo-rollouts"
2023-04-15 20:53:30,2.35
2023-04-15 20:53:45,2.35
2023-04-15 20:54:00,4.03
2023-04-15 20:54:15,4.03
2023-04-15 20:54:30,7.97
2023-04-15 20:54:45,7.97
2023-04-15 20:55:00,10.9
2023-04-15 20:55:15,10.9
2023-04-15 20:55:30,6.61
2023-04-15 20:55:45,6.61
2023-04-15 20:56:00,7.15
2023-04-15 20:56:15,7.15
2023-04-15 20:56:30,4.69
2023-04-15 20:56:45,4.69
2023-04-15 20:57:00,8.58
2023-04-15 20:57:15,8.58
2023-04-15 20:57:30,13.9
2023-04-15 20:57:45,13.9
2023-04-15 20:58:00,12.7

