"Time","flagger"
2023-02-21 14:48:00,6.12
2023-02-21 14:48:15,6.12
2023-02-21 14:48:30,6.01
2023-02-21 14:48:45,6.01
2023-02-21 14:49:00,5.37
2023-02-21 14:49:15,5.37
2023-02-21 14:49:30,6.49
2023-02-21 14:49:45,6.49
2023-02-21 14:50:00,5.80
2023-02-21 14:50:15,5.80
2023-02-21 14:50:30,8.02
2023-02-21 14:50:45,8.02
2023-02-21 14:51:00,5.57
2023-02-21 14:51:15,5.57
2023-02-21 14:51:30,6.18
2023-02-21 14:51:45,6.18
2023-02-21 14:52:00,6.80
2023-02-21 14:52:15,6.80
2023-02-21 14:52:30,5.63
2023-02-21 14:52:45,5.63
2023-02-21 14:53:00,6.01

