"Time","flagger"
2023-02-21 15:18:00,28.0
2023-02-21 15:18:15,28.0
2023-02-21 15:18:30,28.1
2023-02-21 15:18:45,28.1
2023-02-21 15:19:00,28.1
2023-02-21 15:19:15,28.1
2023-02-21 15:19:30,28.9
2023-02-21 15:19:45,28.9
2023-02-21 15:20:00,28.9
2023-02-21 15:20:15,28.9
2023-02-21 15:20:30,28.9
2023-02-21 15:20:45,28.9
2023-02-21 15:21:30,29.0
2023-02-21 15:21:45,29.0
2023-02-21 15:22:00,28.9
2023-02-21 15:22:15,28.9
2023-02-21 15:22:30,28.9
2023-02-21 15:22:45,28.9
2023-02-21 15:23:00,28.9

