"Time","spinnaker"
2023-04-17 20:17:30,2683
2023-04-17 20:17:45,2683
2023-04-17 20:18:00,2683
2023-04-17 20:18:15,2714
2023-04-17 20:18:30,2714
2023-04-17 20:18:45,2763
2023-04-17 20:19:00,2763
2023-04-17 20:19:15,2685
2023-04-17 20:19:30,2685
2023-04-17 20:19:45,2684
2023-04-17 20:20:00,2684
2023-04-17 20:20:15,2684
2023-04-17 20:20:30,2684
2023-04-17 20:20:45,2711
2023-04-17 20:21:00,2711
2023-04-17 20:21:15,2684
2023-04-17 20:21:30,2684
2023-04-17 20:21:45,2684
2023-04-17 20:22:00,2684

