"Time","flagger"
2023-02-21 13:01:45,25.8
2023-02-21 13:02:00,25.9
2023-02-21 13:02:15,25.9
2023-02-21 13:02:30,25.9
2023-02-21 13:02:45,25.9
2023-02-21 13:03:00,26.0
2023-02-21 13:03:15,26.0
2023-02-21 13:03:30,25.9
2023-02-21 13:03:45,25.9
2023-02-21 13:04:00,26.3
2023-02-21 13:04:15,26.3
2023-02-21 13:04:30,26.3
2023-02-21 13:04:45,26.3
2023-02-21 13:05:00,26.3
2023-02-21 13:05:15,26.3
2023-02-21 13:05:30,26.4
2023-02-21 13:05:45,26.4
2023-02-21 13:06:00,26.4
2023-02-21 13:06:15,26.4

