"Time","spinnaker"
2023-04-17 16:09:45,84.3
2023-04-17 16:10:00,84.3
2023-04-17 16:10:15,185
2023-04-17 16:10:30,185
2023-04-17 16:10:45,125
2023-04-17 16:11:00,125
2023-04-17 16:11:15,117
2023-04-17 16:11:30,117
2023-04-17 16:11:45,132
2023-04-17 16:12:00,132
2023-04-17 16:12:15,149
2023-04-17 16:12:30,149
2023-04-17 16:12:45,144
2023-04-17 16:13:00,144
2023-04-17 16:13:15,57.1
2023-04-17 16:13:30,57.1
2023-04-17 16:13:45,68.4
2023-04-17 16:14:00,68.4
2023-04-17 16:14:15,39.6
