"Time","argo-rollouts"
2023-04-15 21:00:30,4.89
2023-04-15 21:00:45,4.89
2023-04-15 21:01:00,3.45
2023-04-15 21:01:15,3.45
2023-04-15 21:01:30,3.66
2023-04-15 21:01:45,3.66
2023-04-15 21:02:00,5.87
2023-04-15 21:02:15,5.87
2023-04-15 21:02:30,5.43
2023-04-15 21:02:45,5.43
2023-04-15 21:03:00,4.50
2023-04-15 21:03:15,4.50
2023-04-15 21:03:30,6.89
2023-04-15 21:03:45,6.89
2023-04-15 21:04:00,6.45
2023-04-15 21:04:15,6.45
2023-04-15 21:04:30,7.60
2023-04-15 21:04:45,7.60
2023-04-15 21:05:00,13.4
2023-04-15 21:05:15,13.4
2023-04-15 21:05:30,6.64

